# This file contains the commands, arguments and flags for the
# ImageJ Macro 'FilterTester'.
#
# Version 2012-Dec-23 for ImageJ 1.47g
#
# The lines contain (semicolon-delimited):
#    command-string; options-string; flags; results
# The strings should not be enclosed in quotes; command-string must not contain
#   additional whitespace (spaces, tabs, etc.)
# Flags are bitwise OR of bits:
#   bit 0 (1)  - do on 8-bit image
#   bit 1 (2)  - do on 16-bit image
#   bit 2 (4)  - do on 32-bit image
#   bit 3 (8)  - do on RGB image
#   bit 4 (16) - do on binary image
#   bit 5 (32) - do on stacks of the types defined previously
#   bit 6 (64) - command creates a separate output image (no stack) that should be measured
#   bit 7 (128) - disable anisotropy tests (if filtering is not isotropic, but works differently
#                when rotated/flipped, e.g. "Shadow" filters).
#   bit 8 (256) - disable Undo test
#
# The results are comma-delimited; mean, min, max for each type of selection and data file type
# With the FilterTester in learning mode (with writeResults = true), the results of the
# tests are written (or overwritten) as further arguments in each line.
#
# Lines starting with a character less than '0' (e.g., '#', "!") are comments.
#
#
Convolve...; text1=[0 1 -1\n3 0 4\n-1 1 0\n] normalize; 175;64.27,9,194,64.315,9,194,64.03,9,254,149.9375,22,453,150.035,22,453,149.35,22,593,4.982,0.7073,15.0882,4.9853,0.7073,15.0882,4.9628,0.7073,19.7359,201.4625,93,247,201.4375,93,247,201.6925,46,247,
#
# binary
Erode; ;48;10.2,0,255,10.8375,0,255,20.4,0,255,
Skeletonize; ;48;1.275,0,255,1.275,0,255,1.275,0,255,
Distance Map; ;48;0.155,0,3,0.155,0,3,0.155,0,3,
Find Maxima...;noise=2 output=[Maxima Within Tolerance] light;79;5.7375,0,255,5.7375,0,255,0,0,0,5.7375,0,255,5.7375,0,255,0,0,0,0.6375,0,255,0.6375,0,255,0,0,0,5.7375,0,255,5.7375,0,255,0,0,0,
#
# Gaussian blur-related (different algorithm for r=9 and r=2)
Gaussian Blur...;radius=9;47;69.6425,40,154,68.93,32,160,70.02,32,254,162.4775,93,359,160.8275,75,373,163.3375,75,593,5.3996,3.0906,11.9463,5.3444,2.4865,12.4099,5.428,2.4865,19.7359,196.9925,127,222,197.5925,122,228,196.73,46,228,
Unsharp Mask...;gaussian=1.5 mask=0.51 limit;47;62.855,3,255,62.83,3,255,62.88,3,254,147.3575,8,881,147.285,8,881,146.685,8,593,4.8959,0.2716,29.3381,4.8936,0.2716,29.3381,4.8734,0.2716,19.7359,202.575,9,252,202.5925,9,252,202.6575,46,252,
# High pass;radius=9;44;-1.838879373073578,-6.395672798156738,13.817586898803711,-1.2121032977104187,-6.395672798156738,13.817586898803711,1.8009862852096559,-6.395725250244141,19.73590087890625,147.7975,7,196,153.45,7,228,179.75,46,228,
# Highpass is not undoable for 8 and 16 bit: output is signed (calibrated)
# High pass;radius=9;291;-23.7525,-82,127,99.8475,32,255,79.605,32,254,-55.2075,-192,415,29536.775,75,33183,14472.2075,75,32952,
#
# Rank Filters (min, max, mean, variance have different algorithms for r=1 and r=5, but min&max, sum&variance are almost the same code)
Mean...;radius=1;  47;63.34,15,195,63.4025,15,195,63.8475,15,254,147.7075,35,454,147.8475,35,454,148.9225,35,593,4.907771039009094,1.1545000076293945,15.118301391601562,4.912331286668778,1.1545000076293945,15.118301391601562,4.94811028778553,1.1545000076293945,19.73590087890625,202.2975,93,243,202.25,93,243,201.86,46,243,
Mean...;radius=5;  47;66.875,29,164,66.4125,29,164,67.7975,29,254,155.97,67,383,154.9,67,383,158.1325,67,593,5.1829,2.2223,12.7549,5.1472,2.2223,12.7549,5.2549,2.2223,19.7359,199.3225,118,231,199.7125,118,231,198.5475,46,231,
Variance...;radius=1;47;104.67,0,255,101.94,0,255,94.025,0,255,1708.78,0,24946,1649.425,0,24946,808.01,0,24946,1.8949,-3.2044E-7,27.6619,2.2738,-3.2044E-7,27.6619,3.9197,-2.8451E-7,27.6619,91.2225,0,255,104.0375,0,255,156.0425,0,255,
Maximum...;radius=1;  47;83.935,16,254,82.615,16,254,73.785,16,254,195.8425,37,593,192.76,37,593,172.1175,37,593,6.5106,1.2211,19.7359,6.4079,1.2211,19.7359,5.7205,1.2211,19.7359,215.5225,95,254,214.4475,95,254,208.2975,46,248,
Maximum...;radius=5;47;180.375,48,254,172.555,32,254,121.665,32,254,421.005,112,593,402.7525,75,593,283.885,75,593,14.008467330932618,3.718600273132324,19.73590087890625,13.400659031867981,2.4865002632141113,19.73590087890625,9.442371085882186,2.4865002632141113,19.73590087890625,237.255,195,254,234.68,122,254,217.2275,46,254,
Minimum...;radius=1;  47;47.4475,1,192,48.7475,1,192,56.135,8,254,110.645,2,448,113.67,2,448,130.9125,19,593,3.673478721641004,0.05560000240802765,14.907401084899902,3.7742112227901816,0.05560000240802765,14.907401084899902,4.348386506736278,0.6217000484466553,19.73590087890625,185.1275,46,242,186.23,46,242,193.5825,46,242,
Minimum...;radius=5;47;21.1875,1,72,24.2975,1,160,45.325,1,254,49.4825,2,168,56.7275,2,373,105.7425,2,593,1.6368,0.0556,5.5834,1.878,0.0556,12.4099,3.5102,0.0556,19.7359,105.225,46,215,111.7475,46,228,153.875,46,228,
Median...;radius=5;  47;59.36,24,184,59.82,24,184,63.435,24,254,138.4375,56,429,139.5075,56,429,147.975,56,593,4.598969044089317,1.8538000583648682,14.274701118469238,4.634600042700767,1.8538000583648682,14.274701118469238,4.916567806601524,1.8538000583648682,19.73590087890625,205.6025,102,235,205.2225,102,235,202.185,46,235,
Despeckle; ;47;62.42,16,192,62.52,16,192,63.315,16,254,145.57,37,448,145.805,37,448,147.6775,37,593,4.8365,1.2211,14.9074,4.8443,1.2211,14.9074,4.9067,1.2211,19.7359,203.06,95,242,202.975,95,242,202.3025,46,242,
Remove Outliers...;radius=2 threshold=1 which=Dark;47;61.34,8,192,61.44,8,192,62.795,8,254,143.055,19,448,143.29,19,448,146.4625,19,593,4.8495,0.6217,15.5401,4.8495,0.6217,15.5401,4.8973,0.6217,19.7359,203.955,95,248,203.87,95,248,202.7375,46,248,
Rotate... ;angle=10 interpolation=Bilinear enlarge;431;79.8775,10,216,62.98,12,200,62.2725,9,254,186.36,24,504,146.9075,27,466,145.2525,22,593,6.1949,0.7815,16.7633,4.8819,0.8927,15.5067,4.8265,0.7213,19.7359,188.4525,75,247,202.56,88,246,203.1625,46,247,
Rotate... ;angle=111.1 interpolation=None;175;78.22,32,216,94.015,8,254,72.795,8,254,182.4675,75,504,219.3275,19,593,169.8025,19,593,6.0652,2.4865,16.7722,7.2926,0.6217,19.7359,5.6434,0.6217,19.7359,189.8625,75,228,176.7025,46,248,194.3975,46,248,
#
