 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
22,398,63.017587940,25.390297284,38,18,123,590.615577889,61.841708543,589.561919381,61.978011244,87.012193309,576,45,24,28,31.310911010,16.184432917,51.599646949,0.660591078,35.608987630,25081.000000000,58,0.570604993,-0.549895865,100,25081.000000000,578,73,51.842773413,18.551221675,1.934631332,0.516894348,0.889385475
23,6,106.666666667,15.769168230,111,76,120,583.666666667,51.666666667,583.679687500,51.679687500,8.485281374,582,50,3,3,3.140455407,2.432588997,134.999880634,1.000000000,3.605551275,640.000000000,111,-1.424425737,0.587610060,100,640.000000000,583,50,123.690067526,2.828427125,1.290993016,0.774597529,0.800000000
24,3846,73.017940718,25.380884045,58,0,125,238.528601144,121.063442538,242.047479409,119.262683075,658.180807591,110,60,265,122,311.451813682,15.722750917,24.042406307,0.111565192,288.480501941,280827.000000000,72,0.055565371,-0.726065754,100,280827.000000000,110,180,23.276827761,24.535656787,19.808989873,0.050482130,0.641106851
25,197,78.756345178,23.808794526,81,30,125,561.246192893,71.631979695,561.064228166,71.625427006,58.183766184,552,64,19,17,21.072260083,11.903241006,39.591721036,0.731261033,23.430749028,15515.000000000,79,0.179836068,-0.953500314,100,15515.000000000,553,81,39.805571092,13.435028843,1.770296012,0.564877282,0.871681416
26,376,72.268617021,24.840712265,58,27,125,581.297872340,92.960106383,581.361112133,92.915338755,99.396969620,562,80,38,24,44.790668474,10.688343915,27.386998865,0.478246082,42.544094772,27173.000000000,67,0.484099118,-0.729706001,100,27173.000000000,563,103,29.577838681,11.750059191,4.190608838,0.238628810,0.858447489
27,1627,76.775660725,22.705222565,58,9,125,352.906269207,108.809157959,353.773099893,108.282786557,248.249783362,308,93,94,41,94.034281246,22.029846050,15.006007496,0.331756668,96.772930099,124914.000000000,74,0.214821728,-0.540586914,100,124914.000000000,308,124,13.749048983,29.643948649,4.268494706,0.234274626,0.718798321
28,443,74.503386005,25.945241018,81,13,125,514.621896163,105.829571106,513.519027420,106.234737161,112.811183182,490,94,45,22,47.894918223,11.776721607,22.163674027,0.437430722,49.244289009,33005.000000000,76,-0.014511677,-0.725681652,100,33005.000000000,490,115,23.962488975,13.431631630,4.066914360,0.245886663,0.860194175
29,2,112.500000000,6.363961031,108,108,117,545.000000000,94.500000000,545.020000000,94.500000000,4.242640687,544,94,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,225.000000000,117,0.000000000,-2.000000000,100,225.000000000,544,94,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
30,333,75.345345345,24.449190324,56,27,125,189.178678679,124.055555556,189.398365883,123.829095257,115.053823869,165,112,48,23,51.353284299,8.256312604,24.215641412,0.316120007,53.225933529,25090.000000000,73,0.225146932,-0.913371213,100,25090.000000000,165,135,25.602187551,9.594880737,6.219881291,0.160774773,0.845177665
31,1021,65.030362390,25.673860567,58,7,125,566.296278159,139.258080313,566.464455690,139.039369842,189.036579926,531,112,69,51,82.510276111,15.755341473,34.607926627,0.359040883,85.000000000,66396.000000000,58,0.592620730,-0.466963942,100,66396.000000000,532,163,36.869897646,19.119266149,5.236971617,0.190950052,0.845198675
32,3186,72.029190207,23.703402013,56,0,125,377.960451977,141.589767734,374.890182365,142.489228054,527.771644663,294,117,168,62,139.205368148,29.140695100,14.579252993,0.143735329,175.570498661,229485.000000000,71,0.153609337,-0.395862606,100,229485.000000000,294,179,16.886791124,37.315911096,4.777009185,0.209336001,0.629955512
33,15,111.266666667,9.974729976,119,95,123,157.233333333,123.833333333,157.227980827,123.831336129,13.899494937,155,121,4,5,4.758526134,4.013552229,84.115855534,0.975670297,5.385164807,1669.000000000,113,-0.514536743,-1.202790189,100,1669.000000000,157,121,111.801409486,4.000000000,1.185614604,0.843444402,0.882352941
34,355,66.538028169,34.166021902,100,0,125,118.108450704,134.618309859,119.496994200,134.124063333,105.154328933,99,124,40,21,44.953565941,10.054820545,21.666519606,0.403444598,44.294469181,23621.000000000,67,-0.130991122,-0.973120557,100,23621.000000000,100,145,28.300755766,11.341507438,4.470847166,0.223671256,0.840236686
35,1913,71.906429692,22.794633568,54,0,125,474.303972818,151.689231573,472.378348612,152.113505674,285.421356237,414,126,121,48,121.821429816,19.994078651,18.305571795,0.295088241,128.082004981,137557.000000000,70,0.295050992,-0.265265583,100,137557.000000000,414,172,19.142268191,23.352856157,6.092875393,0.164126120,0.835371179
36,9,93.222222222,22.476530970,62,62,125,101.277777778,129.944444444,101.231823600,129.932657926,11.313708499,99,128,4,4,3.642394546,3.146050148,153.434948823,0.883572934,4.472135955,839.000000000,93,0.147907568,-1.283941343,100,839.000000000,99,129,153.434948823,3.535533906,1.157767478,0.863731292,0.750000000
37,2171,67.395670198,26.635058143,58,0,125,513.592123445,185.325886688,512.975949315,185.281992400,471.345237792,412,137,188,90,185.922981779,14.867462996,19.691428769,0.122798042,208.002403832,146316.000000000,65,0.226856069,-0.593919986,100,146316.000000000,412,226,25.333073774,26.223762974,12.505360318,0.079965709,0.554888179
38,1,123.000000000,0.000000000,123,123,123,154.500000000,139.500000000,154.500000000,139.500000000,2.828427125,154,139,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,154,139,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
39,4081,68.714530752,27.343504930,60,0,125,199.944988973,173.277260475,199.876041280,172.944409180,751.293505963,109,139,199,77,173.875453799,29.883979990,17.852324092,0.090856748,207.848502520,280424.000000000,67,0.061509593,-0.623137444,100,280424.000000000,109,201,16.778454939,37.589788751,5.818349961,0.171870033,0.653744493
40,2,116.500000000,0.707106781,116,116,117,149.000000000,146.500000000,149.002145923,146.500000000,4.242640687,148,146,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,233.000000000,117,0.000000000,-2.000000000,100,233.000000000,148,146,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
41,2234,67.589525515,26.221016199,54,0,125,299.651745748,204.264100269,300.249680453,203.732941488,422.416305603,210,166,172,84,188.051507500,15.125734331,26.265093783,0.157330052,189.694491222,150995.000000000,65,0.192800883,-0.418154146,100,150995.000000000,210,247,24.943905263,19.913319536,12.432553910,0.080433997,0.713054580
42,1,123.000000000,0.000000000,123,123,123,266.500000000,174.500000000,266.500000000,174.500000000,2.828427125,266,174,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,266,174,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
43,1,123.000000000,0.000000000,123,123,123,266.500000000,176.500000000,266.500000000,176.500000000,2.828427125,266,176,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,266,176,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
44,2728,67.432917889,25.801772651,56,0,125,307.475073314,231.878299120,311.250724354,230.160578287,514.700576851,209,180,216,92,221.403899792,15.688059159,20.514520685,0.129403171,234.776489453,183957.000000000,63,0.350254551,-0.559004997,100,183957.000000000,209,272,23.070412250,20.389976576,14.112892968,0.070857194,0.715634837
45,3,123.666666667,2.309401077,125,121,125,290.500000000,181.500000000,290.500000000,181.500000000,6.242640687,289,181,3,1,3.385137501,1.128379167,0.000000000,0.967374069,3.162277660,371.000000000,125,-0.707106781,-1.500000008,100,371.000000000,289,181,161.565051177,1.000000000,3.000000000,0.333333333,1.000000000
46,970,61.186597938,29.233962920,38,0,125,245.215463918,200.704123711,246.542088592,199.987573925,199.480230740,205,182,83,38,88.124491343,14.014745953,22.369061736,0.306324600,90.873538503,59351.000000000,56,0.371740051,-0.731881662,100,59351.000000000,205,219,24.026506579,16.102552096,6.287983503,0.159033496,0.867620751
47,1,123.000000000,0.000000000,123,123,123,599.500000000,185.500000000,599.500000000,185.500000000,2.828427125,599,185,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,599,185,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
48,1,125.000000000,0.000000000,125,125,125,160.500000000,188.500000000,160.500000000,188.500000000,2.828427125,160,188,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,125.000000000,125,NaN,NaN,100,125.000000000,160,188,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
49,2,110.500000000,3.535533906,108,108,113,215.000000000,203.500000000,214.988687783,203.500000000,4.242640687,214,203,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,221.000000000,113,0.000000000,-2.000000000,100,221.000000000,214,203,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
50,3,116.000000000,5.000000000,111,111,121,266.833333333,207.166666667,266.833333333,207.152298851,5.656854249,266,206,2,2,2.364634341,1.615352771,135.000000000,1.000000000,2.828427125,348.000000000,116,0.000000000,-1.500000000,100,348.000000000,266,206,135.000000000,2.000000000,1.463850116,0.683130048,0.857142857
51,3156,65.014575412,27.266282909,56,0,125,406.412864385,261.298162231,407.115865605,260.796526079,629.553390593,275,207,256,116,262.085512368,15.332186685,24.323432503,0.100064890,281.055154729,205186.000000000,62,0.219539499,-0.482866019,100,205186.000000000,275,323,24.376468617,25.982078984,17.093811714,0.058500703,0.576965265
52,1355,63.963099631,27.527321663,54,0,125,557.877121771,224.248339483,555.899688474,224.785046729,267.563491861,507,207,93,41,92.292915784,18.693087855,17.210199357,0.237845779,100.089959536,86670.000000000,60,0.262816473,-0.531604782,100,86670.000000000,507,244,21.695109461,25.208445612,4.937275024,0.202540874,0.718451750
53,1,125.000000000,0.000000000,125,125,125,107.500000000,224.500000000,107.500000000,224.500000000,2.828427125,107,224,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,125.000000000,125,NaN,NaN,100,125.000000000,107,224,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
54,2,122.500000000,3.535533906,120,120,125,214.000000000,228.500000000,213.989795918,228.500000000,4.242640687,213,228,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,245.000000000,125,0.000000000,-2.000000000,100,245.000000000,213,228,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
55,531,71.785310734,25.108125627,60,15,125,369.063088512,249.658192090,368.365076867,249.909071830,152.409162928,337,233,60,34,62.498415588,10.817717408,29.456505356,0.287264679,68.476273263,38118.000000000,69,0.333648576,-0.748949254,100,38118.000000000,337,266,28.810793743,12.895190600,5.777412483,0.173087866,0.821981424
56,1664,65.816105769,28.957136801,38,0,125,301.364182692,263.061298077,301.972251137,262.397797622,331.362481734,234,234,140,59,145.456500053,14.565664660,22.479998488,0.190439274,151.924323267,109518.000000000,61,0.274813085,-0.814757873,100,109518.000000000,234,293,22.851947849,17.619369215,9.986259017,0.100137599,0.844241502
57,5,118.200000000,7.155417528,125,109,125,152.900000000,236.900000000,152.902707276,236.912859560,9.071067812,151,236,4,2,4.076210287,1.561793253,20.993606248,0.763594939,4.472135955,591.000000000,119,-0.221191406,-1.549011230,100,591.000000000,151,238,26.565051177,2.000000000,2.609955114,0.383148352,0.769230769
58,1962,47.854230377,30.275838042,38,0,125,540.298674822,259.271151886,541.330812653,258.436734477,275.865007051,489,236,111,42,106.547133908,23.445923838,10.810552956,0.323978088,114.982607380,93890.000000000,43,0.634794284,-0.224544067,100,93890.000000000,489,266,15.124007308,31.681085730,4.544377720,0.220052131,0.735520150
59,1,124.000000000,0.000000000,124,124,124,130.500000000,243.500000000,130.500000000,243.500000000,2.828427125,130,243,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,124.000000000,124,NaN,NaN,100,124.000000000,130,243,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
60,5,123.400000000,0.894427191,123,123,125,121.500000000,246.700000000,121.506482982,246.696110211,11.899494937,119,245,5,3,5.322280943,1.196140864,27.123056373,0.443734107,5.830951895,617.000000000,123,1.500000000,0.250000009,100,617.000000000,119,248,30.963756532,1.792407459,4.449543615,0.224742150,0.588235294
61,18,101.777777778,18.829124985,86,67,125,120.388888889,251.222222222,120.427947598,251.186135371,14.727922061,118,249,5,5,5.088023318,4.504364539,25.406241192,1.000000000,5.830951895,1832.000000000,107,-0.402852547,-1.130637141,100,1832.000000000,118,253,30.963756532,4.949747468,1.129576275,0.885287715,0.857142857
62,1,123.000000000,0.000000000,123,123,123,71.500000000,256.500000000,71.500000000,256.500000000,2.828427125,71,256,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,71,256,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
63,1,123.000000000,0.000000000,123,123,123,93.500000000,259.500000000,93.500000000,259.500000000,2.828427125,93,259,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,93,259,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
64,8,117.375000000,7.269063606,123,104,125,73.000000000,261.000000000,73.001597444,260.994142705,9.656854249,71,260,4,2,4.513516677,2.256758330,0.000000000,1.000000000,4.472135955,939.000000000,122,-0.689277657,-0.716905744,100,939.000000000,71,260,153.434948823,2.000000000,2.000000008,0.499999998,1.000000000
65,42,110.928571429,10.778010263,121,89,125,81.166666667,263.619047619,81.198647778,263.624490234,42.041630560,73,260,16,8,15.092070078,3.543321798,23.419317828,0.298607046,17.088007491,4659.000000000,115,-0.464965637,-0.972162818,100,4659.000000000,73,267,20.556045220,5.687865046,4.259299872,0.234780370,0.600000000
66,1,123.000000000,0.000000000,123,123,123,482.500000000,260.500000000,482.500000000,260.500000000,2.828427125,482,260,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,482,260,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
67,2931,42.556465370,24.722841858,30,0,125,178.397645855,296.387410440,177.114392342,295.927224552,218.693434176,147,261,60,69,69.004110853,54.081779469,122.375464232,0.770112537,71.400280111,124733.000000000,38,1.203469556,1.606974717,100,124733.000000000,154,272,127.030389606,55.807247893,1.275921605,0.783747212,0.946552559
68,2,123.500000000,2.121320344,122,122,125,91.500000000,263.000000000,91.500000000,263.006072874,4.828427125,91,262,1,2,2.256758334,1.128379167,90.000000000,1.000000000,2.236067977,247.000000000,125,0.000000000,-2.000000000,100,247.000000000,91,262,116.565051177,1.000000000,2.000000000,0.500000000,1.000000000
69,6,121.333333333,3.204163958,121,117,125,54.000000000,267.000000000,53.987637363,267.009615385,9.071067812,52,266,4,2,3.987826087,1.915689677,18.434948823,0.916313927,4.472135955,728.000000000,121,0.029600150,-1.306459774,100,728.000000000,52,268,26.565051177,2.000000000,2.081666010,0.480384459,0.857142857
70,3,124.333333333,1.154700538,125,123,125,56.166666667,270.166666667,56.164879357,270.164879357,5.656854249,55,269,2,2,2.364633618,1.615353264,45.000041778,1.000000000,2.828427125,373.000000000,125,-0.707106781,-1.499999838,100,373.000000000,55,271,45.000000000,2.000000000,1.463849222,0.683130465,0.857142857
71,5,116.200000000,6.760177512,117,106,125,599.100000000,270.700000000,599.098967298,270.687607573,7.656854249,598,269,2,3,3.144298699,2.024679692,71.565051177,1.000000000,3.605551275,581.000000000,117,-0.342640706,-0.482915887,100,581.000000000,598,272,56.309932474,2.000000000,1.552985744,0.643920914,0.909090909
72,9,114.000000000,4.415880433,113,108,121,81.500000000,271.500000000,81.507797271,271.480506823,9.656854249,80,270,3,3,3.385137501,3.385137501,0.000000000,1.000000000,4.242640687,1026.000000000,113,0.194001417,-1.109467456,100,1026.000000000,80,270,135.000000000,3.000000000,1.000000000,1.000000000,1.000000000
73,3,120.333333333,6.429100507,113,113,125,552.833333333,271.166666667,552.846260388,271.159279778,5.656854249,552,270,2,2,2.364634341,1.615352771,135.000000000,1.000000000,2.828427125,361.000000000,123,-0.630903857,-1.500000000,100,361.000000000,552,270,135.000000000,2.000000000,1.463850116,0.683130048,0.857142857
74,2,124.500000000,0.707106781,124,124,125,60.000000000,272.000000000,59.997991968,272.002008032,5.656854249,59,271,2,2,2.595639808,0.981060269,45.000011141,0.785398163,2.828427125,249.000000000,125,0.000000000,-2.000000000,100,249.000000000,59,273,45.000000000,1.414213562,2.645749593,0.377964719,0.666666667
75,59,93.983050847,26.647437300,123,31,125,475.398305085,279.076271186,475.197745717,279.520018034,32.627416998,471,273,8,12,12.649162511,5.938822675,65.150466021,0.696460497,13.416407865,5545.000000000,105,-0.823338807,-0.540635091,100,5545.000000000,472,285,63.434948823,7.061529501,2.129910793,0.469503232,0.825174825
76,5,112.000000000,11.661903790,98,98,123,583.900000000,273.700000000,583.873214286,273.716071429,9.071067812,582,273,4,2,3.732322288,1.705693462,5.152423234,0.763594939,4.123105626,560.000000000,117,-0.333079924,-1.734794010,100,560.000000000,582,273,165.963756532,2.000000000,2.188155358,0.457005942,0.769230769
77,2,124.000000000,1.414213562,123,123,125,57.000000000,275.500000000,56.995967742,275.500000000,4.242640687,56,275,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,248.000000000,125,0.000000000,-2.000000000,100,248.000000000,56,275,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
78,1384,68.173410405,28.541813671,54,0,125,434.022398844,304.173410405,431.210785145,305.269363659,346.634559673,359,277,148,58,149.687621931,11.772272865,17.374892392,0.144744555,157.889201657,94352.000000000,66,0.131983560,-0.719560601,100,94352.000000000,359,334,20.386154600,16.969887628,12.715269485,0.078645600,0.607550483
79,34,119.823529412,4.549196321,125,109,125,44.000000000,283.029411765,44.011291114,283.035837015,35.698484810,40,278,10,11,10.691083734,4.049182066,44.512109538,0.335265770,14.142135624,4074.000000000,120,-0.681603986,-0.438113450,100,4074.000000000,40,289,45.000000000,6.222587452,2.640306995,0.378743836,0.571428571
80,5,116.800000000,12.008330442,119,96,125,301.700000000,279.500000000,301.714041096,279.500000000,8.485281374,300,278,3,3,3.086144239,2.062832204,145.900704743,0.872664626,3.605551275,584.000000000,119,-1.271133221,-0.050380309,100,584.000000000,301,278,123.690067526,2.684803085,1.496071388,0.668417301,0.714285714
81,1,122.000000000,0.000000000,122,122,122,91.500000000,281.500000000,91.500000000,281.500000000,2.828427125,91,281,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,122.000000000,122,NaN,NaN,100,122.000000000,91,281,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
82,71,113.225352113,7.827054150,108,94,125,23.894366197,294.584507042,23.903781565,294.477484762,51.698484810,20,284,8,21,21.867794312,4.133933509,82.203829379,0.333820177,21.377558326,8039.000000000,113,-0.291404439,-0.723671417,100,8039.000000000,23,305,79.215702132,5.786285769,5.289827295,0.189042089,0.642533937
83,12,121.416666667,3.449857265,123,113,125,91.750000000,287.166666667,91.743651338,287.162319835,15.313708499,90,284,4,6,6.478618404,2.358353832,108.873402694,0.643028702,6.708203932,1457.000000000,123,-1.326301175,1.035753458,100,1457.000000000,90,284,116.565051177,3.397339114,2.747093467,0.364021105,0.685714286
84,3884,56.770082389,31.213732737,58,0,125,429.516992791,339.575695160,423.707401528,342.080335155,770.447834896,324,284,227,101,190.536719371,25.954379860,17.937166677,0.082224759,243.082290593,220495.000000000,53,0.357505396,-0.667356794,100,220495.000000000,325,377,22.239107461,44.556118259,7.341216411,0.136217208,0.459808216
85,8,103.250000000,16.193032011,121,76,121,592.250000000,285.750000000,592.233656174,285.725181598,10.485281374,590,284,4,3,3.797477579,2.682284792,172.981878266,0.914407274,4.472135955,826.000000000,104,-0.368408789,-1.002323868,100,826.000000000,590,285,153.434948823,3.000000000,1.415762260,0.706333279,0.800000000
86,2024,45.047430830,28.050546201,30,0,125,589.625000000,340.635869565,587.963246907,340.484908309,272.551298552,570,284,30,113,100.050548730,25.757348373,91.148234944,0.342392199,113.534135836,91176.000000000,38,1.063260863,0.629930740,100,91176.000000000,589,397,84.440052737,30.000000000,3.884349712,0.257443349,0.862745098
87,1,106.000000000,0.000000000,106,106,106,387.500000000,287.500000000,387.500000000,287.500000000,2.828427125,387,287,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,106.000000000,106,NaN,NaN,100,106.000000000,387,287,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
88,950,56.843157895,32.996146126,54,0,125,261.448421053,311.577894737,262.421353308,310.912159034,217.764501988,219,289,88,45,99.077206792,12.208434277,25.449335871,0.251744097,97.508973946,54001.000000000,53,0.304437545,-0.750792037,100,54001.000000000,219,332,25.513870428,16.122989812,8.115472020,0.123221422,0.789036545
89,3,121.000000000,3.464101615,123,117,123,46.166666667,291.166666667,46.177685950,291.161157025,5.656854249,45,290,2,2,2.364633618,1.615353264,45.000041778,1.000000000,2.828427125,363.000000000,123,-0.707106781,-1.500000000,100,363.000000000,45,292,45.000000000,2.000000000,1.463849222,0.683130465,0.857142857
